amount,close,date,volume,high,low,open
9417855.32,8.67,2025-11-19,1083527.0,8.74,8.64,8.68
14689844.47,8.33,2025-11-20,1738438.0,8.62,8.32,8.58
18056449.57,8.62,2025-11-23,2106086.0,8.65,8.41,8.42
13128292.31,8.61,2025-11-24,1521283.0,8.7,8.56,8.62
23031693.23,8.88,2025-11-25,2617150.0,8.92,8.53,8.6
11706500.95,8.7,2025-11-26,1337800.0,8.82,8.7,8.82
9608996.32,8.75,2025-11-27,1108273.0,8.75,8.61,8.68
9262665.2,8.69,2025-11-30,1068424.0,8.71,8.63,8.7
9611434.39,8.56,2025-12-01,1121877.0,8.66,8.52,8.66
3781097.39,8.43,2025-12-02,445452.0,8.57,8.43,8.53
7779733.0,8.5,2025-12-03,919560.0,8.54,8.37,8.44
4039248.9,8.59,2025-12-04,475383.0,8.6,8.4,8.49
9693908.22,8.6,2025-12-07,1126349.0,8.67,8.57,8.6
7994734.72,8.5,2025-12-08,936709.0,8.64,8.47,8.62
6970080.15,8.55,2025-12-09,819319.0,8.56,8.44,8.49
9335194.17,8.48,2025-12-10,1089381.0,8.64,8.47,8.56
24567006.41,8.85,2025-12-11,2810609.0,8.85,8.45,8.47
18229905.93,8.63,2025-12-14,2093841.0,8.86,8.62,8.86
8572795.54,8.37,2025-12-15,1017910.0,8.62,8.35,8.62
9664828.45,8.38,2025-12-16,1162109.0,8.41,8.21,8.34
6396821.68,8.3,2025-12-17,766898.0,8.4,8.29,8.35
7480423.57,8.37,2025-12-18,890540.0,8.45,8.36,8.36
8186068.78,8.44,2025-12-21,968130.0,8.48,8.41,8.41
7242040.31,8.4,2025-12-22,861221.0,8.47,8.36,8.43
10539677.16,8.53,2025-12-23,1240245.0,8.59,8.37,8.38
11274041.42,8.61,2025-12-24,1317254.0,8.65,8.46,8.48
10670701.86,8.57,2025-12-25,1244191.0,8.63,8.51,8.63
9615882.56,8.5,2025-12-28,1124869.0,8.64,8.47,8.58
4982902.56,8.46,2025-12-29,589591.0,8.5,8.41,8.46
12654940.83,8.61,2025-12-30,1478630.0,8.69,8.43,8.47
12909752.55,8.7,2026-01-04,1486699.0,8.73,8.64,8.64
16895078.06,8.79,2026-01-05,1929563.0,8.79,8.66,8.7
36292245.83,9.07,2026-01-06,4025513.0,9.13,8.75,8.79
46720530.57,9.32,2026-01-07,5008905.0,9.49,8.96,9.03
37985188.45,9.3,2026-01-08,4064405.0,9.5,9.2,9.37
41208318.93,9.48,2026-01-11,4359570.0,9.55,9.32,9.32
37328261.44,9.15,2026-01-12,4042629.0,9.5,9.06,9.48
28641088.23,9.27,2026-01-13,3078195.0,9.51,9.13,9.15
19982697.07,9.1,2026-01-14,2204398.0,9.2,8.93,9.15
18904395.42,9.16,2026-01-15,2040620.0,9.38,9.15,9.25
19830029.01,9.3,2026-01-18,2129558.0,9.4,9.14,9.16
19917231.39,9.3,2026-01-19,2131928.0,9.46,9.25,9.31
12488958.69,9.17,2026-01-20,1361743.0,9.24,9.12,9.24
32396293.56,9.38,2026-01-21,3434004.0,9.63,9.32,9.32
18197300.13,9.27,2026-01-22,1965290.0,9.35,9.22,9.34
15606689.87,9.16,2026-01-25,1706619.0,9.3,9.06,9.28
11011604.69,8.95,2026-01-26,1231632.0,9.1,8.84,9.1
8346395.4,8.89,2026-01-27,938019.0,8.97,8.85,8.94
10320701.1,8.76,2026-01-28,1174876.0,8.86,8.72,8.85
10289220.07,8.71,2026-01-29,1185926.0,8.81,8.52,8.74
9464651.25,8.61,2026-02-01,1084581.0,8.83,8.6,8.71
7812601.87,8.74,2026-02-02,898953.0,8.74,8.62,8.65
6302026.58,8.75,2026-02-03,721664.0,8.78,8.68,8.7
8224371.85,8.61,2026-02-04,952943.0,8.71,8.59,8.71
5494437.46,8.61,2026-02-05,638768.0,8.67,8.48,8.55
9291635.29,8.79,2026-02-08,1061260.0,8.82,8.65,8.68
7179097.02,8.84,2026-02-09,813291.0,8.9,8.76,8.79
5836338.46,8.71,2026-02-10,667534.0,8.84,8.7,8.84
8181478.19,8.8,2026-02-11,933200.0,8.84,8.64,8.71
7096878.8,8.72,2026-02-12,811755.0,8.8,8.69,8.71
