amount,close,date,volume,high,low,open
623157.48,5.5,2025-11-25,113404.0,5.54,5.39,5.41
293811.89,5.47,2025-11-26,53519.0,5.52,5.45,5.48
726807.62,5.48,2025-11-27,132667.0,5.52,5.43,5.47
546264.62,5.56,2025-11-30,98835.0,5.58,5.44,5.49
575809.41,5.61,2025-12-01,102564.0,5.64,5.55,5.56
503149.6,5.66,2025-12-02,88852.0,5.7,5.59,5.61
778749.21,5.7,2025-12-03,136424.0,5.74,5.66,5.66
407131.46,5.69,2025-12-04,71651.0,5.71,5.63,5.67
661052.06,5.66,2025-12-07,115709.0,5.77,5.65,5.74
547653.66,5.67,2025-12-08,96466.0,5.71,5.63,5.65
781129.76,5.74,2025-12-09,136407.0,5.76,5.62,5.66
584401.64,5.67,2025-12-10,102000.0,5.79,5.66,5.75
517911.37,5.55,2025-12-11,92495.0,5.69,5.55,5.69
575882.69,5.55,2025-12-14,103318.0,5.62,5.52,5.54
299800.46,5.55,2025-12-15,54062.0,5.59,5.49,5.58
498791.39,5.54,2025-12-16,90379.0,5.59,5.45,5.54
453834.74,5.61,2025-12-17,81158.0,5.63,5.5,5.55
635928.76,5.71,2025-12-18,111588.0,5.73,5.58,5.6
775401.84,5.8,2025-12-21,133812.0,5.85,5.72,5.74
623005.98,5.69,2025-12-22,108868.0,5.81,5.67,5.77
622333.03,5.72,2025-12-23,108744.0,5.75,5.66,5.66
686075.02,5.8,2025-12-24,118623.0,5.81,5.68,5.72
521317.27,5.76,2025-12-25,90233.0,5.83,5.74,5.8
726802.73,5.7,2025-12-28,126418.0,5.82,5.7,5.77
411879.27,5.75,2025-12-29,72029.0,5.77,5.64,5.72
421010.72,5.74,2025-12-30,73383.0,5.78,5.7,5.74
819241.88,5.57,2026-01-04,145517.0,5.78,5.57,5.73
933081.86,5.66,2026-01-05,165600.0,5.69,5.56,5.59
843313.96,5.53,2026-01-06,151447.0,5.66,5.52,5.65
837054.28,5.58,2026-01-07,151531.0,5.58,5.46,5.51
670193.09,5.6,2026-01-08,120065.0,5.63,5.53,5.55
1132935.51,5.61,2026-01-11,203136.0,5.62,5.54,5.6
1328305.71,5.61,2026-01-12,236824.0,5.71,5.52,5.61
1016749.68,5.53,2026-01-13,182808.0,5.63,5.47,5.6
963164.56,5.46,2026-01-14,175528.0,5.57,5.43,5.51
796061.01,5.48,2026-01-15,145238.0,5.53,5.44,5.49
1239618.58,5.54,2026-01-18,225025.0,5.57,5.44,5.47
834749.88,5.57,2026-01-19,150174.0,5.6,5.52,5.55
1019550.11,5.66,2026-01-20,180630.0,5.69,5.53,5.55
850052.08,5.68,2026-01-21,149880.0,5.7,5.63,5.66
768301.83,5.72,2026-01-22,134935.0,5.74,5.65,5.7
678051.35,5.63,2026-01-25,120318.0,5.76,5.59,5.73
551708.0,5.57,2026-01-26,99220.0,5.64,5.49,5.62
600337.37,5.52,2026-01-27,108558.0,5.57,5.49,5.57
767932.56,5.5,2026-01-28,139420.0,5.56,5.47,5.52
865152.5,5.48,2026-01-29,158071.0,5.55,5.39,5.51
1170610.93,5.32,2026-02-01,216977.0,5.49,5.3,5.45
801293.5,5.31,2026-02-02,150768.0,5.36,5.27,5.35
805076.47,5.42,2026-02-03,149949.0,5.42,5.28,5.29
584731.28,5.4,2026-02-04,108031.0,5.44,5.38,5.4
418729.72,5.39,2026-02-05,77318.0,5.46,5.36,5.38
500555.29,5.43,2026-02-08,92256.0,5.44,5.4,5.43
346049.2,5.44,2026-02-09,63501.0,5.47,5.4,5.44
741261.62,5.5,2026-02-10,134533.0,5.56,5.45,5.49
661417.47,5.52,2026-02-11,119658.0,5.55,5.5,5.53
581326.25,5.42,2026-02-12,106464.0,5.51,5.42,5.51
1011180.25,5.57,2026-02-23,182235.0,5.64,5.45,5.47
810115.25,5.58,2026-02-24,144626.0,5.63,5.55,5.57
660938.99,5.58,2026-02-25,118710.0,5.62,5.54,5.6
403624.03,5.55,2026-02-26,72781.0,5.58,5.52,5.57
